,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
0,conductor,baton,barber,scissors,clippers,scissor,razor,mower
1,novice,inexperience,idiot,stupidity,dumb,stupid,moron,unintelligent
2,conductor,baton,drummer,stick,drumstick,drum,sticks,drums
3,adolescence,textbooks,girlhood,school,innocence,dolls,dresses,diary
4,farmer,tractor,barber,hair,scissors,clippers,scissor,razor
5,nose,face,yolk,egg,,,,
6,farmer,tractor,musician,instrument,guitar,violin,piano,statues
7,dupe,gullibility,idiot,ignorant,dull,stupidity,dumb,stupid
8,laureate,dishonor,acclaim,honor,fail,job,award,criticize
9,tulip,flower,oak,tree,acorn,,,
10,farmer,tractor,gardener,hoe,shovel,spade,rake,trowel
11,bulwark,flimsy,ecstasy,depression,sorrow,happy,sadness,alert
12,beggar,poverty,idiot,stupidity,dumb,stupid,unintelligent,fool
13,famine,plenitude,novice,beginner,elder,experience,expert,adept
14,bulwark,flimsy,rainbow,rain,storm,colorful,dull,monotone
15,dupe,gullibility,coward,scared,cower,fear,weakness,brave
16,simmer,boil,happiness,joy,contentment,glee,ecstatic,sadness
17,war,tranquility,acclaim,invisible,dishonor,blame,disown,criticism
18,conductor,baton,musician,music,singer,instrument,guitar,stick
19,arsenal,weapon,refrigerator,food,kitchen,milk,appliance,lettuce
20,sound,inaudible,rainbow,rain,invisible,colorful,monotone,colors
21,lateness,hurry,thirsty,dry,hungry,drink,quench,gulp
22,adolescence,textbooks,childhood,kid,story,diary,stories,novels
23,dupe,gullibility,miser,fun,cheat,poverty,cheap,stingy
24,enthusiasm,fervor,happiness,joy,contentment,glee,ecstatic,excitement
25,lateness,hurry,fright,anxiety,scared,jump,calm,scream
26,famine,plenitude,prisoner,sadness,freedom,free,freeman,civilian
27,bulwark,flimsy,coward,bird,scared,awake,brave,chicken
28,simmer,boil,sadness,depression,tears,sorrow,grief,melancholy
29,love,hate,dirty,clean,disgusting,,,
30,conductor,baton,surgeon,doctor,instrument,scalpel,knife,patient
31,nose,face,finger,hand,,,,
32,famine,plenitude,tyranny,peace,freedom,kindness,democracy,famine
33,lateness,hurry,dirtiness,dirty,clean,wash,shower,cleaning
34,enthusiasm,fervor,sadness,depression,tears,sorrow,emotion,grief
35,famine,plenitude,acclaim,denial,fame,bad,dishonor,own
36,ship,fleet,soldier,army,platoon,battalion,squadron,squad
37,harmony,discordant,mute,sound,loud,noisy,talkative,vocal
38,poem,anthology,soldiers,army,battalion,squad,troop,company
39,sonnet,poem,shirt,clothing,top,outfit,clothes,apparel
40,hunger,eat,thirsty,water,drink,,,
41,seminary,theologian,refrigerator,cold,food,foods,kitchen,milk
42,dupe,gullibility,nun,holiness,religious,piety,church,faith
43,laureate,dishonor,drought,flood,dry,wet,rain,downpour
44,happy,sad,black,white,,,,
45,simmer,boil,jog,run,exercise,walk,sprint,
46,sound,inaudible,integrity,invisible,cheat,dishonesty,dishonest,whole
47,seminary,theologian,hive,nest,bee,bees,insects,
48,adolescence,textbooks,christmas,trees,celebration,children,gifts,debt
49,tulip,flower,robin,bird,hood,wings,,
50,dupe,gullibility,child,adult,adolescent,youth,young,innocence
51,laureate,dishonor,prisoner,honor,freedom,free,freeman,jail
52,smooth,rough,fast,slow,,,,
53,farmer,tractor,drummer,band,stick,drum,sticks,drums
54,bulwark,flimsy,integrity,light,honor,liar,dishonesty,dishonest
55,famine,plenitude,depression,happy,happiness,joy,mania,contentment
56,conductor,baton,mechanic,wrench,tool,car,vehicle,tech
57,buy,sell,dirty,clean,clear,,,
58,famine,plenitude,drought,flood,dry,wet,rain,downpour
59,rage,emotion,pig,animal,hog,mammal,,
60,famine,plenitude,liar,dishonest,honest,truth,honesty,pathological
61,smooth,rough,tall,short,,,,
62,engine,car,yolk,wagon,egg,chicken,vittles,collar
63,stream,river,giggle,smile,laughter,laugh,chuckle,funny
64,lateness,hurry,thirst,hungry,saturate,drink,eat,quench
65,lateness,hurry,sadness,depression,cry,worry,happy,happiness
66,dupe,gullibility,winner,win,success,victory,prize,champion
67,tulip,flower,swan,animal,bird,duck,goose,fowl
68,harmony,discordant,enthusiasm,depression,melancholy,joy,excitement,sadness
69,scepter,authority,diploma,achievement,graduation,graduate,degree,education
70,novice,inexperience,coward,scared,ignorant,fear,weakness,professional
71,farmer,tractor,mechanic,wrench,tools,tool,car,automobile
72,laureate,dishonor,slavery,honor,freedom,freeman,crime,master
73,simmer,boil,giggle,happy,laughter,serious,laugh,chuckle
74,dupe,gullibility,saint,holy,good,religion,holiness,angel
75,war,tranquility,depression,happiness,joy,contentment,prosperity,glee
76,fatigue,sleep,dirtiness,disease,filth,clean,unclean,dirt
77,sonnet,poem,oak,tree,drink,wood,redwood,
78,laureate,dishonor,liar,honor,praise,cheat,dishonest,honest
79,siren,danger,smoke,fire,alert,cancer,suffocation,dangerous
80,dupe,gullibility,millionaire,wealth,rich,wealthy,intelligence,greed
81,old,young,fast,slow,,,,
82,war,tranquility,destitution,abundance,happiness,wealth,prosperity,sadness
83,poem,anthology,sheep,flock,animal,boat,mammal,farm
84,sonnet,poem,ring,wedding,sound,finish,jewelry,phone
85,bulwark,flimsy,mute,sound,person,loud,noisy,vocal
86,tree,forest,soldiers,army,platoon,battalion,troop,regiment
87,practice,improvement,tragedy,disaster,depression,sorrow,grief,sadness
88,sonnet,poem,dollar,note,savings,money,currency,bill
89,joke,laughter,tragedy,tears,sorrow,cry,despair,sadness
90,love,hate,praise,dishonor,trash,criticize,insult,scorn
91,old,young,bad,good,,,,
92,old,young,short,tall,,,,
93,fatigue,sleep,sadness,depression,sorrow,unhappy,depressed,cry
94,laureate,dishonor,novice,new,beginner,learn,experience,expert
95,beggar,poverty,millionaire,wealth,prosperity,rich,riches,lavish
96,famine,plenitude,weakness,sorrow,strength,strong,healthy,
97,laureate,dishonor,destitution,abundance,wealth,prosperity,rich,success
98,novice,inexperience,saint,holy,good,holiness,kindness,virtue
99,signature,approval,license,car,certificate,drive,permission,authorize
100,siren,danger,diploma,school,success,achievement,graduation,graduate
101,glass,fragile,professor,teacher,student,smart,intelligent,academic
102,laureate,dishonor,depression,happy,happiness,joy,sadness,elation
103,rage,emotion,oak,tree,wood,,,
104,happy,sad,hot,cold,feelings,,,
105,sound,inaudible,ecstasy,depression,melancholy,misery,happy,joy
106,laureate,dishonor,tyranny,evil,praise,freedom,subject,democracy
107,sonnet,poem,carrot,stem,earth,vegetable,food,salad
108,simmer,boil,pain,cry,anguish,illness,hurt,agony
109,attack,defend,dirty,clean,wash,sparkling,defense,unclean
110,scepter,authority,smoke,flame,fire,alarm,smoker,hazard
111,happy,sad,bad,good,guy,horrible,,
112,hunger,eat,dirtiness,clean,wash,shower,bathe,filthy
113,farmer,tractor,surgeon,tool,doctor,body,instrument,scalpel
114,dupe,gullibility,scholar,school,interest,dumb,intelligence,learning
115,novice,inexperience,child,adult,adolescent,youth,young,baby
116,beggar,poor,candy,rich,kid,sweet,sugar,cavities
117,infancy,cradle,girlhood,bed,dress,dolls,dresses,period
118,happy,sad,fast,slow,speed,,,
119,adolescence,textbooks,death,life,coffin,grave,old,cancer
120,famine,plenitude,destitution,abundance,wealth,rich,success,riches
121,nose,face,toe,foot,leg,,,
122,harmony,discordant,ecstasy,misery,anguish,fun,pain,suffering
123,stream,river,sadness,depression,tears,sorrow,emotion,grief
124,retirement,pension,christmas,dog,gifts,gift,holiday,presents
125,sonnet,poem,pig,animal,meat,hog,swine,sty
126,rage,emotion,robin,happy,bird,batman,hood,
127,war,tranquility,novice,beginner,hurt,master,experience,expert
128,smooth,rough,black,color,white,,,
129,tree,forest,soldier,army,battalion,squadron,infantry,gun
130,buy,sell,praise,honor,talk,criticize,insult,admonish
131,lateness,hurry,happiness,joy,jump,sadness,smile,content
132,glass,fragile,villain,evil,bad,dumb,mean,malevolent
133,bulwark,flimsy,enthusiasm,happy,lazy,excitement,content,strength
134,harmony,discordant,integrity,value,liar,dishonesty,dishonest,lies
135,seminary,theologian,library,book,books,librarian,read,scholar
136,engine,car,page,book,phone,sheet,,
137,tree,forest,player,team,game,field,ensemble,orchestra
138,practice,improvement,explosion,loud,worsen,mess,bomb,destruction
139,retirement,pension,death,ground,insurance,coffin,grave,funeral
140,conductor,baton,soldier,army,gun,rifle,war,salute
141,ship,fleet,weapons,army,battalion,gun,military,arsenal
142,love,hate,birth,death,woman,,,
143,sound,inaudible,coward,scared,brave,afraid,courage,hero
144,bulwark,flimsy,empty,full,void,hollow,closed,emptiness
145,tulip,flower,red,color,blood,rose,,
146,enthusiasm,fervor,pain,anguish,fire,suffering,hurt,agony
147,poem,anthology,player,team,music,sound,sport,game
148,seminary,theologian,school,business,milk,graduate,education,teacher
149,signature,approval,flag,country,nation,patriotism,surrender,denial
150,smooth,rough,hot,fire,cold,,,
151,poem,anthology,soldier,army,battalion,troop,war,unit
152,diary,person,recording,voice,music,singer,sound,musician
153,happy,sad,big,small,little,,,
154,sonnet,poem,robin,flock,song,bird,hood,words
155,joke,laughter,exercise,lazy,run,strength,sweat,fitness
156,sonnet,poem,spear,war,weapon,fish,arrow,guy
157,beggar,poverty,nun,holy,religion,religious,piety,church
