id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG10002,The House on the Borderland,"Hodgson, William Hope",1877,1918,['en'],519,{'Science fiction'}
PG10005,"A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775,1861,['en'],40,"{'Science fiction', 'Space flight to the moon -- Fiction'}"
PG10007,Carmilla,"Le Fanu, Joseph Sheridan",1814,1873,['en'],6417,"{'Young women -- Fiction', 'Vampires -- Fiction'}"
PG10008,The Mystery,"Adams, Samuel Hopkins",1871,1958,['en'],31,{'Science fiction'}
PG10021,Tenterhooks,"Leverson, Ada",1862,1933,['en'],6,"{'London (England) -- Social life and customs -- 20th century -- Fiction', 'Man-woman relationships -- Fiction'}"
PG10025,Gaslight Sonatas,"Hurst, Fannie",1889,1968,['en'],10,"{'City and town life -- Fiction', 'Short stories, American', 'Immigrants -- Fiction', 'Poor -- Fiction', 'Slums -- Fiction'}"
PG10027,"The Triple Alliance, Its Trials and Triumphs","Avery, Harold",1867,1943,['en'],11,{'Schools -- Juvenile fiction'}
PG10029,The Hunt Ball Mystery,"Magnay, William, Sir",1855,1917,['en'],10,{'Detective and mystery stories'}
PG10037,A Beautiful Possibility,"Black, Edith Ferguson",1857,1936,['en'],19,"{'Christian life -- Fiction', 'Orphans -- Fiction'}"
PG10038,The Magnetic North,"Robins, Elizabeth",1862,1952,['en'],32,{'Yukon -- Fiction'}
PG10041,The Rivet in Grandfather's Neck: A Comedy of Limitations,"Cabell, James Branch",1879,1958,['en'],23,{'Southern States -- Social life and customs -- Fiction'}
PG10045,"Dave Darrin's Second Year at Annapolis: Or, Two Midshipmen as Naval Academy ""Youngsters""","Hancock, H. Irving (Harrie Irving)",1868,1922,['en'],7,{'United States Naval Academy -- Juvenile fiction'}
PG10046,Salute to Adventurers,"Buchan, John",1875,1940,['en'],22,"{'Glasgow (Scotland) -- Fiction', 'Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Historical fiction', 'Jamestown (Va.) -- Fiction', 'Scottish Americans -- Virginia -- Fiction'}"
PG10048,"Billie Bradley and Her Inheritance; Or, The Queer Homestead at Cherry Corners","Wheeler, Janet D.",,,['en'],20,"{'Girls -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction'}"
PG10049,Old Lady Mary: A Story of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828,1897,['en'],8,"{'Death -- Fiction', 'Inheritance and succession -- Fiction'}"
PG10050,A Little Pilgrim: Stories of the Seen and the Unseen,"Oliphant, Mrs. (Margaret)",1828,1897,['en'],3,{'Death -- Fiction'}
PG10051,The Little Pilgrim: Further Experiences.: Stories of the Seen and the Unseen.,"Oliphant, Mrs. (Margaret)",1828,1897,['en'],4,{'Death -- Fiction'}
PG10052,"The Open Door, and the Portrait.: Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828,1897,['en'],204,{'Manners and customs -- Fiction'}
PG10057,The Secret of the Tower,"Hope, Anthony",1863,1933,['en'],16,"{'World War, 1914-1918 -- Veterans -- Fiction', 'England -- Social life and customs -- 20th century -- Fiction', 'Mystery fiction', 'Women physicians -- Fiction'}"
PG10059,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],17,"{'Cousins -- Juvenile fiction', 'Family -- Juvenile fiction', 'Mystery and detective stories', 'Uncles -- Juvenile fiction', 'Women authors -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Farm life -- Juvenile fiction'}"
PG10062,The Iron Game: A Tale of the War,"Keenan, Henry F. (Henry Francis)",1850,1928,['en'],4,"{'United States -- History -- Civil War, 1861-1865 -- Fiction'}"
PG10064,Beltane the Smith,"Farnol, Jeffery",1878,1952,['en'],10,{'Blacksmiths -- Fiction'}
PG10066,Gunman's Reckoning,"Brand, Max",1892,1944,['en'],122,"{'Western stories', 'Man-woman relationships -- Fiction', 'Frontier and pioneer life -- West (U.S.) -- Fiction', 'Outlaws -- Fiction'}"
