id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG10000,The Magna Carta,Anonymous,,,['en'],147,"{'Magna Carta', 'Constitutional history -- England -- Sources'}"
PG10003,"My First Years as a Frenchwoman, 1876-1879","Waddington, Mary King",1833,1923,['en'],13,"{'France -- Social life and customs', 'France -- History -- Third Republic, 1870-1940'}"
PG10009,"Wild Northern Scenes; Or, Sporting Adventures with the Rifle and the Rod","Hammond, S. H. (Samuel H.)",1809,1878,['en'],8,"{'Hunting -- New York (State)', 'Fishing -- New York (State)'}"
PG10011,365 Foreign Dishes: A Foreign Dish for Every Day in the Year,Unknown,,,['en'],103,{'Cooking'}
PG10012,The Mountains of California,"Muir, John",1838,1914,['en'],148,"{'Naturalists -- United States -- Biography', 'Natural history -- California', 'Natural history -- Sierra Nevada (Calif. and Nev.)', 'Mountain ecology -- California', 'Mountain ecology -- Sierra Nevada (Calif. and Nev.)', 'Muir, John, 1838-1914 -- Travel -- Sierra Nevada (Calif. and Nev.)', 'California -- Description and travel', 'Sierra Nevada (Calif. and Nev.)'}"
PG10022,White Queen of the Cannibals: the Story of Mary Slessor of Calabar,"Bueltmann, A. J.",,,['en'],15,"{'Missions -- Nigeria', 'Slessor, Mary Mitchell, 1848-1915', 'Missionaries -- Nigeria -- Biography'}"
PG10028,Spalding's Official Baseball Guide - 1913,,,,['en'],19,{'Baseball'}
PG10030,"The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide: An Autobiography",Buffalo Bill,1846,1917,['en'],16,"{'Scouts (Reconnaissance) -- West (U.S.) -- Biography', 'Pioneers -- West (U.S.) -- Biography', 'Buffalo Bill, 1846-1917', 'Frontier and pioneer life -- West (U.S.)'}"
PG10042,The Child Under Eight,"Murray, E. R. (Elsie Riach)",1861,1932,['en'],5,"{'Education', 'Child psychology', 'Child development'}"
PG10043,Klondyke Nuggets: A Brief Description of the Great Gold Regions in the Northwest,"Ladue, Joseph",1855,1900,['en'],13,"{'Alaska -- Gold discoveries', 'Klondike River Valley (Yukon) -- Gold discoveries'}"
PG10044,The Father of British Canada: a Chronicle of Carleton,"Wood, William",1864,1947,['en'],6,"{'Canada -- History -- 1775-1783', 'Canada -- History -- 1763-1867', 'Dorchester, Guy Carleton, Baron, 1724-1808'}"
PG10060,Discourses: Biological & Geological: Essays,"Huxley, Thomas Henry",1825,1895,['en'],11,"{'Geology', 'Biology'}"
PG10063,Happiness and Marriage,"Towne, Elizabeth",1865,1960,['en'],28,{'Marriage'}
PG10065,"The Constitution of the United States: A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution","Beck, James M. (James Montgomery)",1861,1936,['en'],68,"{'United States. Constitution', 'Constitutional law -- United States'}"
PG10071,By-Ways of Bombay,"Edwardes, S. M. (Stephen Meredyth)",1873,1927,['en'],7,{'Bombay (India) -- Social life and customs'}
PG10072,English Housewifry: Exemplified in above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery,"Moxon, Elizabeth",,,['en'],68,"{'Menus -- Early works to 1800', 'Cooking, English -- Early works to 1800'}"
PG10073,The Century Vocabulary Builder,"Bachelor, Joseph M. (Joseph Morris)",1889,1947,['en'],45,{'Vocabulary'}
PG10075,"A Narrative of the Life and Adventures of Venture, a Native of Africa, but Resident above Sixty Years in the United States of America, Related by Himself","Smith, Venture",,1805,['en'],95,{'Slavery -- Connecticut'}
PG10080,Mobilizing Woman-Power,"Blatch, Harriot Stanton",1856,1940,['en'],26,"{'World War, 1914-1918 -- Women'}"
