,prompt1,prompt2,prompt3,response1,response2,response3,response4,response5
1,blizzard,snowflake,monsoon,tornado,raindrop,rain,water,mon
2,jacket,zipper,overcoat,rain,button,buttons,belt,warm
3,baker,cake,chef,food,meal,entree,dish,steak
5,watermelon,rind,orange,peel,skin,apple,pulp,juicy
6,ash,fireplace,soot,water,chimney,furnace,damp,candle
7,furnace,coal,wood,stove,furnace,wood,oven,paraffin
8,basket,picnic,lunch,box,food,lunch,school,pale
9,sugar,coffee,honey,tea,milk,toast,taste,bees
10,orchard,apple,grove,apple,orange,tree,lemon,trees
11,revising,manuscript,editing,paper,book,text,essay,article
12,multiplication,product,addition,sum,subtraction,product,combination,division
13,painting,canvas,drawing,pencil,paper,board,book,pad
14,train,track,trolley,road,car,cable,wires,street
16,answer,riddle,solution,problem,question,puzzle,thinking,plan
17,burger,bun,sub,water,bread,sandwich,roll,bun
18,foundation,house,base,ground,body,building,structure,statue
