id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG10031,The Complete Poetical Works of Edgar Allan Poe: Including Essays on Poetry,"Poe, Edgar Allan",1809,1849,['en'],494,"{'Fantasy poetry, American'}"
PG10089,Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",1873,1936,['en'],50,"{'Ossian, active 3rd century', 'Scottish poetry', 'Fairy poetry'}"
PG10122,Fairies and Fusiliers,"Graves, Robert",1895,1985,['en'],89,"{'War poetry, English', 'World War, 1914-1918 -- Poetry'}"
PG10133,"The Vigil of Venus and Other Poems by ""Q""","Quiller-Couch, Arthur",1863,1944,['en'],42,{'Poetry'}
PG1060,Grass of Parnassus,"Lang, Andrew",1844,1912,['en'],18,{'Poetry'}
PG1246,The House of Dust: A Symphony,"Aiken, Conrad",1889,1973,['en'],81,"{'Pastoral poetry', 'American poetry'}"
PG1247,Second April,"Millay, Edna St. Vincent",1892,1950,['en'],83,{'American poetry'}
PG22803,Helen Redeemed and Other Poems,"Hewlett, Maurice",1861,1923,['en'],17,{'Poetry'}
PG2558,Poems,"Morris, George Pope",1802,1864,['en'],10,{'American poetry'}
PG258,Poems by Adam Lindsay Gordon,"Gordon, Adam Lindsay",1833,1870,['en'],197,"{'Australia -- Poetry', 'Gordon, Adam Lindsay, 1833-1870'}"
PG25965,"Indian Poetry: Containing ""The Indian Song of Songs,"" from the Sanskrit of the Gîta Govinda of Jayadeva, Two books from ""The Iliad Of India"" (Mahábhárata), ""Proverbial Wisdom"" from the Shlokas of the Hitopadesa, and other Oriental Poems.","Arnold, Edwin, Sir",1832,1904,['en'],43,{'Sanskrit poetry -- Translations into English'}
PG26333,Maurine and Other Poems,"Wilcox, Ella Wheeler",1850,1919,['en'],9,{'American poetry -- 20th century'}
PG263,"Trees, and Other Poems","Kilmer, Joyce",1886,1918,['en'],427,"{'Poetry, Modern -- 20th century'}"
PG264,"Main Street, and Other Poems","Kilmer, Joyce",1886,1918,['en'],36,"{'City and town life -- Poetry', 'Poetry, Modern -- 20th century'}"
PG26611,Enthusiasm and Other Poems,"Moodie, Susanna",1803,1885,['en'],9,{'Poetry'}
PG2678,"Poems by Emily Dickinson, Series One","Dickinson, Emily",1830,1886,['en'],164,{'American poetry'}
PG2679,"Poems by Emily Dickinson, Series Two","Dickinson, Emily",1830,1886,['en'],60,{'American poetry'}
PG26864,Poems for Pale People: A Volume of Verse,"Ranck, Edwin Carty",1879,,['en'],1,{'American poetry'}
PG27024,The Path of Dreams: Poems,"Giltner, Leigh Gordon",1875,,['en'],13,{'American poetry'}
PG27275,The Angel of Thought and Other Poems: Impressions from Old Masters,"Murphy, Ethel Allen",,,['en'],11,"{'Angels in art', 'Poetry', 'Mary, Blessed Virgin, Saint -- Art'}"
PG27333,Pan and Æolus: Poems,"Musgrove, Charles Hamilton",,,['en'],27,{'Poetry'}
PG27370,Poems,"Eddy, Mary Baker",1821,1910,['en'],39,{'Poetry'}
PG27401,Poems & Ballads (Second Series): Swinburne's Poems Volume III,"Swinburne, Algernon Charles",1837,1909,['en'],38,"{'English poetry', 'Ballads, English'}"
PG27494,The Patriotic Poems of Walt Whitman,"Whitman, Walt",1819,1892,['en'],96,{'Poetry'}
PG27677,"Daisy Dare, and Baby Power: Poems","Jeffrey, Rosa Vertner",1828,1894,['en'],6,{'Poetry'}
PG27781,Revised Edition of Poems,Bill o'th' Hoylus End,1836,1897,['en'],10,"{'Poetry', 'Dialect poetry, English -- England -- Yorkshire'}"
PG27912,Gloucester Moors and Other Poems,"Moody, William Vaughn",1869,1910,['en'],14,{'American poetry'}
PG28041,Selections from the Poems and Plays of Robert Browning,"Browning, Robert",1812,1889,['en'],37,"{'Poetry -- Collections', 'English poetry', 'Drama'}"
PG28218,Three Unpublished Poems,"Alcott, Louisa May",1832,1888,['en'],18,"{'Poetry', 'Alcott, Amos Bronson, 1799-1888'}"
PG28591,Poems with Power to Strengthen the Soul,,,,['en'],11,{'English poetry'}
PG29521,Enamels and Cameos and other Poems,"Gautier, Théophile",1811,1872,['en'],50,{'French poetry -- Translations into English'}
PG29993,Poems,"Howells, William Dean",1837,1920,['en'],10,{'American poetry'}
PG30184,The Fairy Changeling and Other Poems,"Shorter, Dora Sigerson",1866,1918,['en'],40,{'Poetry'}
PG30185,London Lyrics,"Locker-Lampson, Frederick",1821,1895,['en'],8,{'London (England) -- Poetry'}
PG30198,Nirvana Days,"Rice, Cale Young",1872,1943,['en'],7,{'Poetry'}
PG301,The Ballad of Reading Gaol,"Wilde, Oscar",1854,1900,['en'],99,"{'Imprisonment -- Poetry', 'Prisons -- Poetry', 'Prisoners -- Poetry'}"
PG3021,A Boy's Will,"Frost, Robert",1874,1963,['en'],611,{'American poetry -- 20th century'}
PG30225,Many Gods,"Rice, Cale Young",1872,1943,['en'],8,{'Poetry'}
PG30235,Six Centuries of English Poetry: Tennyson to Chaucer,"Baldwin, James",1841,1925,['en'],52,{'English poetry'}
PG3026,North of Boston,"Frost, Robert",1874,1963,['en'],291,{'American poetry -- 20th century'}
PG30276,Some Imagist Poets: An Anthology,"Aldington, Richard",1892,1962,['en'],103,"{'English poetry -- 20th century', 'American poetry -- 20th century', 'Imagist poetry'}"
PG30279,The One Hoss Shay: With its Companion Poems How the Old Horse Won the Bet &; The Broomstick Train,"Holmes, Oliver Wendell",1809,1894,['en'],10,{'American poetry'}
PG30282,Early English Alliterative Poems: in the West-Midland Dialect of the Fourteenth Century,,,,['en'],140,"{'English poetry -- Middle English, 1100-1500'}"
PG30332,The Earthly Paradise: A Poem (Part II),"Morris, William",1834,1896,['en'],93,"{'Storytelling -- Poetry', 'Mythology, Classical -- Poetry', 'Tales, Medieval -- Adaptations'}"
PG30391,Betelguese: A Trip Through Hell,"de Esque, Jean",1879,,['en'],8,{'Poetry'}
PG3039,Forty-Two Poems,"Flecker, James Elroy",1884,1915,['en'],13,{'English poetry'}
PG30420,The Poets' Lincoln: Tributes in Verse to the Martyred President,,,,['en'],14,"{'Lincoln, Abraham, 1809-1865 -- Poetry'}"
PG30426,Rhymes Old and New : collected by M.E.S. Wright,,,,['en'],10,"{""Children's poetry""}"
PG30481,Ioläus: The man that was a ghost,"Mackereth, James Allan",1871,,['en'],5,{'Poetry'}
PG30488,The Green Helmet and Other Poems,"Yeats, W. B. (William Butler)",1865,1939,['en'],68,{'English poetry -- Irish authors'}
PG304,"Rio Grande's Last Race, and Other Verses","Paterson, A. B. (Andrew Barton)",1864,1941,['en'],61,{'Australian poetry'}
PG30501,Collected Poems: Volume One,"Noyes, Alfred",1880,1958,['en'],64,{'Poetry'}
PG30504,Eyeshine,"Brown, Paul Cameron",1948,,['en'],5,{'Poetry'}
PG30599,Collected Poems: Volume Two,"Noyes, Alfred",1880,1958,['en'],33,{'Poetry'}
PG30652,In The Seven Woods: Being Poems Chiefly of the Irish Heroic Age,"Yeats, W. B. (William Butler)",1865,1939,['en'],68,{'Ireland -- Poetry'}
PG30669,"A Father of Women, and Other Poems","Meynell, Alice",1847,1922,['en'],19,{'Poetry'}
PG30672,"Eidolon; or, The Course of a Soul; and Other Poems","Cassels, Walter Richard",1826,1907,['en'],4,{'Poetry'}
PG30687,"The Lord of Misrule, and Other Poems","Noyes, Alfred",1880,1958,['en'],13,{'Poetry'}
PG30730,The Hound of Heaven,"Thompson, Francis",1859,1907,['en'],119,{'English poetry'}
PG30830,Weeds by the Wall: Verses,"Cawein, Madison Julius",1865,1914,['en'],4,{'American poetry'}
PG30842,Poems of West & East,"Sackville-West, V. (Victoria)",1892,1962,['en'],27,{'Poetry'}
PG309,Rhymes of a Rolling Stone,"Service, Robert W. (Robert William)",1874,1958,['en'],120,{'Poetry'}
PG31015,"The Poetical Works of Elizabeth Barrett Browning, Volume 4","Browning, Elizabeth Barrett",1806,1861,['en'],61,"{'English poetry -- 19th century', 'Poetry, Modern -- 19th century'}"
PG31172,Old English Poems: Translated into the Original Meter Together with Short Selections from Old English Prose,,,,['en'],141,"{'English poetry -- Old English, ca. 450-1100 -- Modernized versions'}"
PG31181,Mascara-Viscera,"Brown, Paul Cameron",1948,,['en'],10,{'Canadian poetry'}
PG31184,Poems,"Chesterton, G. K. (Gilbert Keith)",1874,1936,['en'],100,{'English poetry'}
PG312,Young Adventure: A Book of Poems,"Benét, Stephen Vincent",1898,1943,['en'],43,{'American poetry'}
PG313,Children of the Night,"Robinson, Edwin Arlington",1869,1935,['en'],157,{'Poetry'}
PG31476,The Long Necked Bottle,"Brown, Paul Cameron",1948,,['en'],4,{'Canadian poetry'}
PG31477,Point Spread Poems,"Brown, Paul Cameron",1948,,['en'],12,{'Canadian poetry'}
PG31486,"The Monkey's Frolic: A Humorous Tale, in Verse",Anonymous,,,['en'],7,"{'Monkeys -- Juvenile poetry', 'Physicians -- Juvenile poetry', ""Children's poetry"", 'Cats -- Juvenile poetry', 'Humorous poetry'}"
PG31514,Prussian Blue,"Brown, Paul Cameron",1948,,['en'],9,{'Canadian poetry'}
PG31515,The Rake's Progress,"Brown, Paul Cameron",1948,,['en'],9,{'Canadian poetry'}
PG315,Rhymes of a Red Cross Man,"Service, Robert W. (Robert William)",1874,1958,['en'],122,"{'World War, 1914-1918 -- Poetry'}"
PG3167,Wessex Poems and Other Verses,"Hardy, Thomas",1840,1928,['en'],146,{'English poetry'}
PG3168,Poems of the Past and the Present,"Hardy, Thomas",1840,1928,['en'],197,{'English poetry'}
PG3170,Chants for Socialists,"Morris, William",1834,1896,['en'],43,{'Socialism -- Poetry'}
PG31712,The Garden of Dreams,"Cawein, Madison Julius",1865,1914,['en'],9,{'American poetry'}
PG31764,Days and Dreams: Poems,"Cawein, Madison Julius",1865,1914,['en'],12,{'American poetry'}
PG317,"The Culprit Fay, and Other Poems","Drake, Joseph Rodman",1795,1820,['en'],34,"{'American poetry -- 19th century', 'New York (State) -- Poetry', 'Fairies -- Poetry'}"
PG31874,Second Book of Verse,"Field, Eugene",1850,1895,['en'],8,{'American poetry -- 19th century'}
PG31877,Sea Poems,"Rice, Cale Young",1872,1943,['en'],25,{'Sea poetry'}
PG31878,The Tempers,"Williams, William Carlos",1883,1963,['en'],15,{'American poetry'}
PG31890,Song-Surf,"Rice, Cale Young",1872,1943,['en'],5,{'Poetry'}
PG31896,Idyllic Monologues: Old and New World Verses,"Cawein, Madison Julius",1865,1914,['en'],5,{'American poetry'}
PG31913,Undertones,"Cawein, Madison Julius",1865,1914,['en'],7,{'American poetry'}
PG31919,Blooms of the Berry,"Cawein, Madison Julius",1865,1914,['en'],6,{'American poetry -- 19th century'}
PG31928,"A Golfing Idyll; Or, The Skipper's Round with the Deil On the Links of St. Andrews","Flint, Violet",,,['en'],8,{'Golf -- Poetry'}
PG32091,Down-Adown-Derry: A Book of Fairy Poems,"De la Mare, Walter",1873,1956,['en'],85,"{'Children -- Conduct of life -- Juvenile poetry', 'Conduct of life -- Juvenile poetry', 'Fairy poetry', ""Children's poetry""}"
PG32099,The Titanic Disaster Poem,"McKenzie, J. H.",,,['en'],51,"{'Shipwrecks -- Poetry', 'Titanic (Steamship) -- Poetry'}"
PG32110,Montezuma: An Epic on the Origin and Fate of the Aztec Nation,"Richmond, Hiram Hoyt",1843,,['en'],10,{'Aztecs -- Poetry'}
PG32145,The Poetical Works of William Lisle Bowles Vol. 2,"Bowles, William Lisle",1762,1850,['en'],21,{'English poetry'}
PG32146,Fugitive Poetry,"Willis, Nathaniel Parker",1806,1867,['en'],6,{'American poetry'}
PG32153,Songs of the Army of the Night,"Adams, Francis",1862,1893,['en'],9,{'Working class -- Poetry'}
PG32167,"The Ballad of St. Barbara, and Other Verses","Chesterton, G. K. (Gilbert Keith)",1874,1936,['en'],42,{'English poetry'}
PG32210,The Brownies: Their Book,"Cox, Palmer",1840,1924,['en'],72,"{'Fairies -- Juvenile poetry', ""Children's poetry""}"
PG32233,The Wind Among the Reeds,"Yeats, W. B. (William Butler)",1865,1939,['en'],196,{'Poetry'}
PG32275,"The Bankrupt; Or, Advice to the Insolvent.: A Poem, addressed to a friend, with other pieces","Parkerson, James",,,['en'],4,{'English poetry'}
PG32276,"Poetical Works: Comprising Elegies, Sketches from Life, Pathetic, and Extempore Pieces","Parkerson, James",,,['en'],7,{'English poetry'}
PG32277,"Characters from Life; Or, Moral Hints. In Verse","Parkerson, James",,,['en'],4,{'English poetry'}
PG3238,Poems of Cheer,"Wilcox, Ella Wheeler",1850,1919,['en'],76,{'American poetry'}
PG323,Verses 1889-1896,"Kipling, Rudyard",1865,1936,['en'],71,"{'Poetry', 'India -- Poetry'}"
PG32445,The Pain and Sorrow of Evil Marriage,"Worde, Wynkyn de",,1534,['en'],12,{'Marriage -- Poetry'}
PG32452,"British Sports, for the Amusement of Children","Belch, William",,,['en'],6,"{'Hunting -- Juvenile poetry', 'Sports -- Juvenile poetry'}"
PG32456,R.E.H.,"Barlow, R. H. (Robert Hayward)",1918,1951,['en'],29,"{'Howard, Robert E. (Robert Ervin), 1906-1936 -- Poetry'}"
PG32458,After Two Nights of the Ear-ache,"Wright, Farnsworth",1888,1940,['en'],8,{'Sleep -- Poetry'}
PG32491,The Wild Swans at Coole,"Yeats, W. B. (William Butler)",1865,1939,['en'],47,{'Poetry'}
PG32493,Witch-Burning,"Counselman, Mary Elizabeth",1911,1995,['en'],33,{'Poetry'}
PG32499,To a Skull on My Bookshelf,"Raplee, Elizabeth Virginia",1900,1982,['en'],4,{'Poetry'}
PG32503,Swamp Demons,"Butz, C. A.",,,['en'],6,{'Poetry'}
PG32523,Mrs. Turner's Cautionary Stories,"Turner, Mrs. (Elizabeth)",,1846,['en'],8,"{'Conduct of life -- Juvenile poetry', ""Children's poetry, English""}"
PG32532,King Cole,"Masefield, John",1878,1967,['en'],10,{'Poetry'}
